Nr. ; Vorname ; Nachname ; Geburtsdatum ; Geschlecht ; PLZ ; Strasse ; Hausnummer ; Stadt ; E-Mail
59; Kristine ; Wilde ; 4.7.1937 ; w ;75038; Horstmarer Landweg ;52; Oberderdingen ; kristine.wilde@ewe.de
60; Patrik ; Gutzeit ; 21.4.1954 ; m ;93352; An den Weiden ;172; Rohr ; p.gutzeit@ewe.de
61; Nicholas ; Feierabend ; 25.5.1978 ; m ;21516; Gustav-Tweer-Weg ;37; Schulendorf ; n.feierabend@ewe.de
62; Kimberley ; Burghardt ; 3.2.1932 ; w ;24975; Dreilinden ;107; Huerup ; kimberley.burghardt@ewe.de
63; Florian ; McKenzie ; 4.12.1920 ; m ;4860; Nienkamp ;177; Zinna ; florian.mckenzie@ewe.de
64; Marina ; Siegler ; 17.11.1925 ; w ;76768; Altenhofer Weg ;103; Berg ; m.siegler@ewe.de
65; Maxim ; Matthes ; 24.3.1987 ; m ;21382; Kurneystr. ;136; Brietlingen ; maxim.matthes@ewe.de
66; Ruediger ; Kayser ; 20.7.1998 ; m ;29479; Am Ziegelofen ;117; Jameln ; ruediger.kayser@ewe.de
67; Anika ; Leber ; 11.2.1958 ; w ;12459; Olpener Str. ;34; Treptow-Koepenick ; anika.leber@ewe.de
68; Heinrich ; Herman ; 1.5.1977 ; m ;38642; Steinkamp ;10; Goslar ; heinrich.herman@ewe.de
69; Sophia ; Kroll ; 22.8.1954 ; w ;56479; Max-Winkelmann-Str. ;128; Stein-Neukirch ; s.kroll@ewe.de
70; Wilfried ; Goertz ; 8.12.1958 ; m ;88376; Heroldstr. ;144; Koenigseggwald ; w.goertz@ewe.de
71; Daniel ; Bamberg ; 18.11.1943 ; m ;54450; Gescherweg ;199; Freudenburg ; daniel.bamberg@ewe.de
72; Norbert ; Estrada ; 8.12.1964 ; m ;83224; Skagerrakstr. ;197; Staudach-Egerndach ;n.estrada@ewe.de 
73; Erik ; Koerber ; 17.5.1930 ; m ;76149; Breslauer Str. ;30; Karlsruhe ; e.koerber@ewe.de
74; Carlotta ; Gutzeit ; 16.11.1999 ; w ;56291; Weserstr. ;186; Leiningen ; c.gutzeit@ewe.de
75; Leo ; Haefele ; 6.9.1985 ; m ;25813; Telgenweg ; 73a ; Suedermarsch ; l.haefele@ewe.de
76; Henri ; Ferguson ; 23.7.1981 ; m ;31691; Am Roemerhof ; 6a ; Helpsen ; henri.ferguson@ewe.de
77; Cedric ; Jaeger ; 2.9.1925 ; m ;94554; Gartenstr. ;92; Moos ; cedric.jaeger@ewe.de
78; Heidi ; Schauer ; 24.9.1927 ; w ;91625; Oelbergstr. ;128; Schnelldorf ; h.schauer@ewe.de
79; Jennifer ; Braun ; 22.10.1999 ; w ;55627; Am Grauen Stein ;34; Weiler ; j.braun@ewe.de
80; Stefanie ; Zoellner ; 4.7.1971 ; w ;49777; Manfred-von-Richthofen-Str. ;10; Stavern ; s.zoellner@ewe.de
81; Leah ; Unger ; 21.4.1948 ; w ;76879; Widdeshover Weg ;195; Bornheim ; l.unger@ewe.de
82; Laila ; Grothe ; 9.4.1923 ; w ;39264; Hoelkenbusch ;66; Hohenlepte ; l.grothe@ewe.de
83; Jeremie ; Lauer ; 18.12.1991 ; m ;50767; Avendruper Str. ;177; Koeln ; eremie.lauer@ewe.de
84; Zoe ; Seibold ; 23.3.1987 ; w ;6766; Simon-Meister-Str. ;153; Thalheim ; zoe.seibold@ewe.de
85; Christa ; Eckard ; 12.6.1927 ; w ;97264; Hindenburgplatz ;134; Helmstadt ; c.eckard@ewe.de
86; Mark ; Schuh ; 26.1.1985 ; m ;17033; Mindener Str. ;112; Neubrandenburg ; m.schuh@ewe.de
87; Nik ; Sullivan ; 12.1.1957 ; m ;57638; Am Berler Kamp ;121; Neitersen ; ik.sullivan@ewe.de
88; Vivien ; Kugler ; 17.2.1994 ; w ;57223; Am Bluetenhain ;82; Kreuztal ; v.kugler@ewe.de
89; Diana ; Kappes ; 15.12.1937 ; w ;34329; Mecklenbecker Str. ;46; Nieste ; diana.kappes@ewe.de
90; Johannes ; Sigl ; 8.2.1955 ; m ;91741; Ulmenweg ;23; Theilenhofen ; ohannes.sigl@ewe.de
91; Manfred ; Fiedler ; 7.1.2000 ; m ;67727; Zuelpicher Str. ;110; Lohnsfeld ; manfred.fiedler@ewe.de
92; Maximilian ; Aydin ; 4.10.1988 ; m ;94551; Salzmannstr. ;195; Hunding ; m.aydin@ewe.de
93; Ian ; Schueler ; 20.6.1940 ; m ;56470; Heroldstr. ;132; Bad Marienberg ; i.schueler@ewe.de
94; Heike ; Hans ; 22.7.1952 ; w ;97657; Hofstr. ;162; Sandberg ; h.hans@ewe.de
95; Willi ; Berthold ; 16.5.1946 ; m ;88356; Stettiner Str. ;89; Ostrach ; w.berthold@ewe.de
96; Julien ; Juergens ; 2.10.1961 ; m ;73329; Woerthstr. ;60; Kuchen ; j.juergens@ewe.de
97; Quentin ; Knoll ; 8.1.1950 ; m ;30451; Goldregenweg ;61; Hannover ; quentin.knoll@ewe.de
98; Ronja ; Singh ; 24.6.1989 ; w ;6502; Von-der-Tinnen-Str. ;134; Weddersleben ; ronja.singh@ewe.de
99; Tabea ; Hartmann ; 21.11.1974 ; w ;86150; Hahnenstr. ;86; Augsburg ; tabea.hartmann@ewe.de
100; Benjamin ; Korte ; 3.3.1947 ; m ;64397; Dorotheenstr. ;6; Modautal ; b.korte@ewe.de
